Date,Treatment,Cashcrop,Rep,Ccspecies,CO2,N2O,Tsoil,SoilM,Tmax,Tmin,Tair,PPTwk,Irr,Cinput
11/20/2018,Fallow,corn,1,NO,1.0,-74.9,9.2,22.8,11.7,-5.6,3.1,0.0,0.0,0.0
11/20/2018,Fallow,corn,2,NO,0.7,-87.7,7.6,23.6,11.7,-5.6,3.1,0.0,0.0,0.0
11/20/2018,Fallow,corn,3,NO,1.6,-81.5,9.6,16.2,11.7,-5.6,3.1,0.0,0.0,0.0
11/20/2018,Fallow,corn,4,NO,12.2,21.5,10.6,27.7,11.7,-5.6,3.1,0.0,0.0,0.0
12/5/2018,Fallow,corn,1,NO,0.0,19.1,10.7,16.1,7.2,-6.1,0.6,0.0,0.0,0.0
12/5/2018,Fallow,corn,2,NO,0.0,-76.7,10.3,19.3,7.2,-6.1,0.6,0.0,0.0,0.0
12/5/2018,Fallow,corn,3,NO,0.0,16.7,12.7,12.7,7.2,-6.1,0.6,0.0,0.0,0.0
12/5/2018,Fallow,corn,4,NO,0.3,-95.0,13.4,12.8,7.2,-6.1,0.6,0.0,0.0,0.0
1/9/2019,Fallow,corn,1,NO,0.0,-30.8,9.7,15.3,8.9,-5.6,1.7,0.0,0.0,0.0
1/9/2019,Fallow,corn,2,NO,0.0,-39.9,7.3,10.5,8.9,-5.6,1.7,0.0,0.0,0.0
1/9/2019,Fallow,corn,3,NO,0.0,-30.7,7.5,7.9,8.9,-5.6,1.7,0.0,0.0,0.0
1/9/2019,Fallow,corn,4,NO,1.6,-68.9,8.1,8.5,8.9,-5.6,1.7,0.0,0.0,0.0
2/26/2019,Fallow,corn,1,NO,3.5,-52.7,17.3,9.2,19.4,-2.2,8.6,0.5,0.0,0.0
2/26/2019,Fallow,corn,2,NO,10.3,-51.1,16.3,9.6,19.4,-2.2,8.6,0.5,0.0,0.0
2/26/2019,Fallow,corn,3,NO,4.1,4.4,19.7,9.1,19.4,-2.2,8.6,0.5,0.0,0.0
2/26/2019,Fallow,corn,4,NO,4.1,-53.6,19.9,6.5,19.4,-2.2,8.6,0.5,0.0,0.0
3/15/2019,Fallow,corn,1,NO,1.0,-64.6,5.6,26.7,7.2,-6.1,0.6,1.9,0.0,0.0
3/15/2019,Fallow,corn,2,NO,1.8,-37.6,5.2,27.9,7.2,-6.1,0.6,1.9,0.0,0.0
3/15/2019,Fallow,corn,3,NO,0.6,-42.2,10.4,22.1,7.2,-6.1,0.6,1.9,0.0,0.0
3/15/2019,Fallow,corn,4,NO,3.9,-52.5,10.3,20.4,7.2,-6.1,0.6,1.9,0.0,0.0
3/21/2019,Fallow,corn,1,NO,14.4,-51.2,12.4,32.7,15.6,1.1,8.3,0.7,0.0,0.0
3/21/2019,Fallow,corn,2,NO,4.9,-60.7,11.6,29.3,15.6,1.1,8.3,0.7,0.0,0.0
3/21/2019,Fallow,corn,3,NO,14.9,6.8,13.1,25.4,15.6,1.1,8.3,0.7,0.0,0.0
3/21/2019,Fallow,corn,4,NO,18.8,-9.1,13.5,21.5,15.6,1.1,8.3,0.7,0.0,0.0
3/28/2019,Fallow,corn,1,NO,4.9,36.4,16.3,20.0,27.2,6.7,16.9,0.1,0.0,0.0
3/28/2019,Fallow,corn,2,NO,1.3,20.5,16.0,19.2,27.2,6.7,16.9,0.1,0.0,0.0
3/28/2019,Fallow,corn,3,NO,8.0,19.5,18.0,16.2,27.2,6.7,16.9,0.1,0.0,0.0
3/28/2019,Fallow,corn,4,NO,5.8,-7.5,18.0,16.3,27.2,6.7,16.9,0.1,0.0,0.0
4/4/2019,Fallow,corn,1,NO,4.7,-30.1,18.0,15.8,23.3,3.3,13.3,0.0,0.0,0.0
4/4/2019,Fallow,corn,2,NO,2.5,-45.1,19.1,9.7,23.3,3.3,13.3,0.0,0.0,0.0
4/4/2019,Fallow,corn,3,NO,1.3,-16.1,21.9,6.7,23.3,3.3,13.3,0.0,0.0,0.0
4/4/2019,Fallow,corn,4,NO,2.2,-50.0,22.1,9.9,23.3,3.3,13.3,0.0,0.0,0.0
4/15/2019,Fallow,corn,1,NO,8.9,59.9,15.1,19.4,24.4,-1.7,11.4,0.2,0.0,0.0
4/15/2019,Fallow,corn,2,NO,0.6,25.1,18.8,14.9,24.4,-1.7,11.4,0.2,0.0,0.0
4/15/2019,Fallow,corn,3,NO,0.6,69.0,20.5,17.0,24.4,-1.7,11.4,0.2,0.0,0.0
4/15/2019,Fallow,corn,4,NO,4.7,-40.5,20.3,18.6,24.4,-1.7,11.4,0.2,0.0,0.0
5/1/2019,Fallow,corn,1,NO,7.6,23.7,22.1,28.1,23.9,7.2,15.6,1.0,0.0,0.0
5/1/2019,Fallow,corn,2,NO,0.6,-60.0,19.5,26.1,23.9,7.2,15.6,1.0,0.0,0.0
5/1/2019,Fallow,corn,3,NO,12.5,18.2,19.9,21.0,23.9,7.2,15.6,1.0,0.0,0.0
5/1/2019,Fallow,corn,4,NO,5.9,16.0,21.1,25.2,23.9,7.2,15.6,1.0,0.0,0.0
5/8/2019,Fallow,corn,1,NO,2.8,12.4,21.1,25.4,31.7,8.9,20.3,0.7,0.0,0.0
5/8/2019,Fallow,corn,2,NO,3.1,17.6,20.3,26.3,31.7,8.9,20.3,0.7,0.0,0.0
5/8/2019,Fallow,corn,3,NO,6.5,27.6,21.1,19.6,31.7,8.9,20.3,0.7,0.0,0.0
5/8/2019,Fallow,corn,4,NO,11.2,45.5,21.9,19.5,31.7,8.9,20.3,0.7,0.0,0.0
5/15/2019,Fallow,corn,1,NO,12.0,44.9,23.0,23.4,28.9,8.9,18.9,1.2,0.0,0.0
5/15/2019,Fallow,corn,2,NO,1.9,17.4,25.6,25.2,28.9,8.9,18.9,1.2,0.0,0.0
5/15/2019,Fallow,corn,3,NO,24.1,13.5,29.5,17.3,28.9,8.9,18.9,1.2,0.0,0.0
5/15/2019,Fallow,corn,4,NO,19.3,17.1,28.0,21.1,28.9,8.9,18.9,1.2,0.0,0.0
5/24/2019,Fallow,corn,1,NO,5.9,0.7,28.3,27.3,27.8,7.8,17.8,0.0,2.5,0.0
5/24/2019,Fallow,corn,2,NO,2.4,7.8,28.3,23.3,27.8,7.8,17.8,0.0,2.5,0.0
5/24/2019,Fallow,corn,3,NO,1.5,-50.2,33.4,18.5,27.8,7.8,17.8,0.0,2.5,0.0
5/24/2019,Fallow,corn,4,NO,0.3,-0.7,32.1,21.2,27.8,7.8,17.8,0.0,2.5,0.0
5/30/2019,Fallow,corn,1,NO,1.3,-19.0,23.3,20.9,22.8,7.2,15.0,1.5,0.0,0.0
5/30/2019,Fallow,corn,2,NO,3.2,8.9,21.9,23.3,22.8,7.2,15.0,1.5,0.0,0.0
5/30/2019,Fallow,corn,3,NO,0.3,-7.3,23.0,19.8,22.8,7.2,15.0,1.5,0.0,0.0
5/30/2019,Fallow,corn,4,NO,0.6,-45.7,23.9,22.5,22.8,7.2,15.0,1.5,0.0,0.0
6/7/2019,Fallow,corn,1,NO,6.8,20.8,25.4,31.3,26.7,14.4,20.6,4.0,0.0,0.0
6/7/2019,Fallow,corn,2,NO,2.5,6.5,24.4,26.7,26.7,14.4,20.6,4.0,0.0,0.0
6/7/2019,Fallow,corn,3,NO,0.0,60.2,25.6,26.4,26.7,14.4,20.6,4.0,0.0,0.0
6/7/2019,Fallow,corn,4,NO,0.3,14.3,25.1,27.6,26.7,14.4,20.6,4.0,0.0,0.0
6/21/2019,Fallow,corn,1,NO,73.2,64.4,28.9,19.3,37.8,13.3,25.6,0.7,0.0,0.0
6/21/2019,Fallow,corn,2,NO,43.4,28.0,29.2,18.4,37.8,13.3,25.6,0.7,0.0,0.0
6/21/2019,Fallow,corn,3,NO,39.7,20.1,31.1,17.6,37.8,13.3,25.6,0.7,0.0,0.0
6/21/2019,Fallow,corn,4,NO,14.8,36.7,31.7,17.6,37.8,13.3,25.6,0.7,0.0,0.0
6/27/2019,Fallow,corn,1,NO,54.0,33.1,27.5,14.0,36.1,19.4,27.8,0.2,0.0,0.0
6/27/2019,Fallow,corn,2,NO,37.0,3.6,27.5,7.9,36.1,19.4,27.8,0.2,0.0,0.0
6/27/2019,Fallow,corn,3,NO,215.5,29.9,31.1,10.3,36.1,19.4,27.8,0.2,0.0,0.0
6/27/2019,Fallow,corn,4,NO,240.1,36.3,31.1,4.8,36.1,19.4,27.8,0.2,0.0,0.0
7/5/2019,Fallow,corn,1,NO,178.7,-28.7,32.1,19.7,37.8,17.8,27.8,0.2,5.0,0.0
7/5/2019,Fallow,corn,2,NO,244.2,-15.3,34.6,12.7,37.8,17.8,27.8,0.2,5.0,0.0
7/5/2019,Fallow,corn,3,NO,273.1,-1.4,41.1,8.7,37.8,17.8,27.8,0.2,5.0,0.0
7/5/2019,Fallow,corn,4,NO,198.8,7.0,38.7,11.1,37.8,17.8,27.8,0.2,5.0,0.0
7/11/2019,Fallow,corn,1,NO,267.7,-39.1,27.2,18.6,35.6,18.9,27.2,7.3,2.6,0.0
7/11/2019,Fallow,corn,2,NO,368.5,-48.0,26.4,16.3,35.6,18.9,27.2,7.3,2.6,0.0
7/11/2019,Fallow,corn,3,NO,230.4,-47.8,27.2,10.3,35.6,18.9,27.2,7.3,2.6,0.0
7/11/2019,Fallow,corn,4,NO,303.7,-19.5,27.8,11.5,35.6,18.9,27.2,7.3,2.6,0.0
7/19/2019,Fallow,corn,1,NO,396.2,-5.8,26.9,15.7,38.3,20.6,29.4,0.0,3.6,0.0
7/19/2019,Fallow,corn,2,NO,390.8,42.9,26.7,14.5,38.3,20.6,29.4,0.0,3.6,0.0
7/19/2019,Fallow,corn,3,NO,313.4,-10.1,28.3,9.7,38.3,20.6,29.4,0.0,3.6,0.0
7/19/2019,Fallow,corn,4,NO,460.8,16.5,28.9,15.3,38.3,20.6,29.4,0.0,3.6,0.0
